year,month,mean_celsius,global_month_avg,total_disasters,total_damages,total_deaths
2002,7,19.9390432098765,21.1403370678311,0,0,0
2002,8,19.8917480998914,21.172382001587,1,0,0
2002,9,18.2896441605839,19.5120029076732,1,3980216,23
2002,10,16.8400568803325,17.6402288796734,1,2506,4
2002,11,14.8642042863657,14.8497615412401,1,0,1
2002,12,13.5227864583333,13.1162410751787,0,0,0
2003,1,11.5261009914688,12.669920706176,2,0,2
2003,2,11.3576893052303,13.0912010003998,0,0,0
2003,3,14.8970993473532,14.5910744656313,0,0,0
2003,4,16.0761417519341,16.1153823418336,0,0,0
2003,5,17.9294566019179,18.0436867225222,0,0,0
2003,6,22.2693917754248,20.1420647693337,0,0,0
2003,7,22.4605975064691,21.1403370678311,2,0,10
2003,8,23.9842605801236,21.172382001587,1,10881178,19490
2003,9,20.1540872920183,19.5120029076732,0,0,0
2003,10,16.3472105016409,17.6402288796734,0,0,0
2003,11,14.9821578701541,14.8497615412401,0,0,0
2003,12,12.6908599729852,13.1162410751787,1,6207217,9
2004,1,12.7770506301128,12.669920706176,0,0,0
2004,2,12.6587105949277,13.0912010003998,0,0,0
2004,3,13.4108971454463,14.5910744656313,0,0,0
2004,4,15.2478873239437,16.1153823418336,0,0,0
2004,5,17.2243647234678,18.0436867225222,0,0,0
2004,6,20.5040934371524,20.1420647693337,0,0,0
2004,7,20.8761460101868,21.1403370678311,0,0,0
2004,8,21.3449958123953,21.172382001587,1,0,11
2004,9,19.8409255704841,19.5120029076732,0,0,0
2004,10,17.9635554635761,17.6402288796734,0,0,0
2004,11,14.4045697202648,14.8497615412401,0,0,0
2004,12,13.1368825238688,13.1162410751787,0,0,0
2005,1,13.0074724809484,12.669920706176,0,0,0
2005,2,11.5002549837738,13.0912010003998,0,0,0
2005,3,14.5249076733689,14.5910744656313,0,0,0
2005,4,16.2228897821028,16.1153823418336,0,0,0
2005,5,17.7856584093872,18.0436867225222,0,0,0
2005,6,20.6556838768116,20.1420647693337,1,23875,2
2005,7,20.7754281949934,21.1403370678311,0,0,0
2005,8,19.9188787945934,21.172382001587,0,0,0
2005,9,18.7704340921123,19.5120029076732,1,0,1
2005,10,18.2587361372672,17.6402288796734,0,0,0
2005,11,14.2782480522215,14.8497615412401,2,0,8
2005,12,11.7314921681781,13.1162410751787,1,0,2
2006,1,12.0700184691155,12.669920706176,0,0,0
2006,2,12.2480947012402,13.0912010003998,0,0,0
2006,3,14.0110992529349,14.5910744656313,1,0,4
2006,4,15.4907678450798,16.1153823418336,0,0,0
2006,5,17.8049059866004,18.0436867225222,0,0,0
2006,6,20.2221556886227,20.1420647693337,0,0,0
2006,7,22.4303963705826,21.1403370678311,1,0,1388
2006,8,19.0666024560559,21.172382001587,0,0,0
2006,9,20.0795428571428,19.5120029076732,0,0,0
2006,10,18.6678626121199,17.6402288796734,1,0,1
2006,11,15.8888103919781,14.8497615412401,0,0,0
2006,12,13.2341806158297,13.1162410751787,0,0,0
2007,1,14.3642003297609,12.669920706176,2,0,4
2007,2,14.919302169537,13.0912010003998,0,0,0
2007,3,14.7540496540496,14.5910744656313,0,0,0
2007,4,17.9014553891584,16.1153823418336,0,0,0
2007,5,18.4853186723681,18.0436867225222,1,0,1
2007,6,19.7914938194008,20.1420647693337,0,0,0
2007,7,20.2908758382443,21.1403370678311,0,0,0
2007,8,20.3549095344582,21.172382001587,0,0,0
2007,9,18.8835530445699,19.5120029076732,0,0,0
2007,10,17.0236397361913,17.6402288796734,0,0,0
2007,11,14.0812192513369,14.8497615412401,0,0,0
2007,12,11.8447310887626,13.1162410751787,0,0,0
2008,1,13.1337521663779,12.669920706176,1,0,2
2008,2,13.4923182129017,13.0912010003998,0,0,0
2008,3,14.3888707704851,14.5910744656313,1,0,2
2008,4,15.7398056201141,16.1153823418336,0,0,0
2008,5,18.4328519855595,18.0436867225222,0,0,0
2008,6,19.2538426966293,20.1420647693337,1,0,0
2008,7,20.4872396896693,21.1403370678311,0,0,0
2008,8,20.5251314405888,21.172382001587,1,316197,3
2008,9,18.8311298838437,19.5120029076732,0,0,0
2008,10,17.0305265314485,17.6402288796734,0,0,0
2008,11,14.7475340136054,14.8497615412401,0,0,0
2008,12,12.2505879882403,13.1162410751787,0,0,0
2009,1,11.7430572723527,12.669920706176,2,11971503,14
2009,2,13.0698590288655,13.0912010003998,0,0,0
2009,3,14.8114029729179,14.5910744656313,0,0,0
2009,4,16.1628437433383,16.1153823418336,0,0,0
2009,5,18.3517990206515,18.0436867225222,0,0,0
2009,6,20.4043211230533,20.1420647693337,0,0,0
2009,7,20.8228205128206,21.1403370678311,1,0,0
2009,8,21.5311259661584,21.172382001587,0,0,0
2009,9,19.7294750158128,19.5120029076732,0,0,0
2009,10,17.5266455696203,17.6402288796734,0,0,0
2009,11,16.2661657363675,14.8497615412401,0,0,0
